Exp,Mouse,Line,Group,Inf1,Inf2,Protein,Dpi,[IFNg] serum,[IgE] serum,[IgG1] serum,[IgG2a] serum,[IL-4] serum,[IL-5] serum,[IL-10] serum,[IFNg] Ag MLN stim,[IFN] CD3 MLN stim,[IFN] Media MLN stim,[IL-5] Media MLN stim,[IL-5] Ag MLN stim,[IL-5] CD3 MLN stim,[IL-10] Media MLN stim,[IL-10] CD MLN stim,[IL-10] Ag MLN stim,[IL-17]Media MLN stim,[IL-17] CD MLN stim,[IL-17] Ag MLN stim,[GAPDH] QPCR Gut,[Arg1] QPCR Gut,[CD36] QPCR Gut,[Idlr] QPCR Gut,[iNOS] QPCR Gut,[PPARg1&2] QPCR Gut,[RELMa] QPCR Gut,[Arg1] QPCR Spleen,[CD36] QPCR Spleen,[GAPDH] QPCR Spleen,[Idlr] QPCR Spleen,[iNOS] QPCR spleen,[PPARg1&2] QPCR spleen,[RELMa] QPCR spleen,wean BW,BW1,BW2,BW3,BW4,BW5,BW6,BW7,BW8,BW9,BW10,BW11,BW12,BWd9,BWd21,FinalBW,ADWG,ADWG expt,ADWG expt diet,FI 1,FI 2,FI 3,FI 4,FI 5,FI 6,FI 7,FI 8,FI 9,FI 10,FI 11,ADFI,ADFI expt,spleen wt,gut wt,Spl_BW,Gut_BW,granulomas,colon contents,wet carcass wt,dry carcass wt,DMR ratio,Fat %,EIC,Adult Male,Adult Female,Juv Male,Juv Female,Total worms,tWB,PCF,Juv Per
SB-105,8,ROH,0_1,0,1,HP,21.000,0.000,0.063,"12,800.000",0.000,0.034,0.000,0.000,0.000,1.563,0.000,1.586,0.000,,0.000,0.947,0.000,0.000,0.077,0.000,0.256,0.005,0.011,2.870,0.019,0.007,0.013,0.251,0.005,0.324,0.413,0.190,0.286,0.006,16.290,21.570,25.320,29.250,32.480,32.580,35.840,40.290,42.010,42.210,46.570,48.190,50.360,,50.630,50.630,1.041,0.930,1.233,3.645,5.307,5.235,4.600,4.780,5.967,4.560,4.230,4.600,4.773,5.655,,,0.138,2.368,2.726,46.771,9.000,0.110,45.360,21.000,0.463,22.115,63.000,4.000,11.000,0.000,0.000,15.000,1.204,5.727,0.000
SB-105,9,ROH,1_1,1,1,HP,21.000,0.000,,"496,000.000",800.000,0.100,,0.000,0.568,1.670,1.436,3.974,1.213,,0.229,4.029,0.852,0.000,0.000,0.000,,,,,,,,,,,,,,,17.880,24.240,28.360,30.100,35.450,35.340,37.970,36.870,42.670,43.680,47.960,50.170,51.850,,53.440,53.440,1.078,1.015,1.289,4.570,5.473,5.505,5.703,4.728,3.240,6.300,5.287,4.928,5.727,4.743,,,0.221,2.721,4.135,50.917,39.000,0.170,46.940,22.200,0.473,23.243,0.000,0.000,0.000,0.000,0.000,0.000,0.000,*,*
SB-105,10,ROH,0_1,0,1,LP,9.000,0.000,0.064,"1,600.000",0.000,0.227,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.268,0.347,2.155,0.711,0.000,0.000,0.000,0.279,0.011,0.032,4.305,0.039,0.032,0.016,0.143,0.001,0.147,0.086,0.074,0.084,0.022,19.460,24.710,28.630,30.750,34.810,34.720,39.130,39.050,38.240,39.910,,,,39.640,,39.640,0.612,0.387,0.042,4.263,5.600,5.613,4.930,5.185,5.693,4.658,4.887,,,,5.095,4.858,0.110,2.300,2.775,58.022,0.000,0.250,35.360,13.500,0.382,12.942,0.000,1.000,2.000,0.000,0.000,3.000,0.602,0.000,0.000
SB-105,11,ROH,1_1,1,1,LP,9.000,0.000,,"124,000.000",400.000,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.672,3.119,0.000,2.748,0.172,0.000,0.000,0.000,0.403,0.279,0.111,0.493,0.059,0.037,0.064,0.144,0.001,0.107,0.077,0.073,0.060,0.090,16.710,22.170,28.130,31.040,34.400,34.650,38.630,38.250,35.610,34.930,,,,34.060,,34.060,0.526,0.131,-0.381,4.638,5.457,5.853,5.233,4.985,4.707,3.295,3.057,,,,4.493,3.187,0.090,1.750,2.642,51.380,31.000,0.180,31.440,11.800,0.375,12.211,0.000,0.000,0.000,0.000,0.000,0.000,0.000,*,*
SB-105,12,ROH,1_0,1,0,LP,21.000,0.000,0.034,"51,200.000",0.000,0.000,0.000,0.000,0.000,0.746,0.884,0.471,0.000,,0.000,0.328,0.000,0.000,0.000,0.000,1.140,0.022,287.000,0.351,7.685,0.151,0.062,0.113,0.016,0.237,0.354,0.090,0.299,0.030,10.190,14.040,17.970,23.310,27.910,28.530,30.250,30.930,31.100,30.810,32.450,32.170,34.450,,34.050,34.050,0.723,0.467,0.317,3.118,4.680,4.725,3.850,3.788,5.000,4.183,4.193,4.385,4.593,4.070,,,0.098,1.851,2.878,54.361,13.000,0.210,30.890,13.300,0.431,18.453,0.000,0.000,0.000,0.000,0.000,0.000,0.000,*,*
SB-105,13,ROH,0_0,0,0,HP,21.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.703,0.714,0.000,0.000,,0.000,0.000,0.000,0.000,0.032,0.000,1.335,0.000,435.000,0.371,5.265,0.173,0.000,0.073,0.037,0.268,0.381,0.158,0.221,0.007,10.380,13.890,18.100,21.630,27.280,28.180,30.950,35.150,37.480,39.610,43.610,43.610,46.060,,46.840,46.840,1.105,1.096,1.324,3.100,4.140,4.975,4.153,4.465,5.820,4.295,4.923,4.435,4.283,4.320,,,0.098,1.997,2.092,42.635,0.000,0.060,42.100,19.100,0.454,21.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000,*,*
SB-105,14,ROL,1_1,1,1,HP,21.000,0.000,0.549,"51,200.000",0.000,0.375,0.075,,0.387,3.676,0.000,5.744,0.555,,0.000,4.764,0.606,0.000,0.173,0.000,0.561,0.022,0.167,0.147,0.105,0.029,0.015,0.011,0.000,0.054,0.307,0.008,0.000,0.001,5.770,7.110,7.760,9.230,11.080,10.940,12.000,13.000,13.170,13.520,14.400,14.620,15.640,,15.790,15.790,0.304,0.285,0.316,1.813,2.257,2.513,2.007,2.328,2.453,1.630,2.060,1.755,1.900,1.865,,,0.056,0.765,3.547,48.448,11.000,0.070,14.050,4.600,0.327,6.796,0.000,1.000,0.000,0.000,0.000,1.000,0.301,*,0.000
SB-105,18,ROL,1_0,1,0,LP,21.000,0.000,0.139,"3,200.000",0.000,0.000,0.000,0.000,,2.323,0.000,,,,0.150,0.336,0.188,0.997,0.000,0.000,0.001,0.000,0.000,0.002,0.000,0.000,0.000,0.052,0.013,0.193,0.426,0.102,0.150,0.002,6.360,7.640,8.560,9.600,12.460,11.210,13.310,12.730,13.310,12.970,14.100,14.000,14.670,,15.490,15.490,0.277,0.256,0.182,1.928,2.270,2.828,2.250,2.978,2.307,2.688,2.617,2.780,2.897,2.890,,,0.033,0.736,2.130,47.515,6.000,0.140,13.500,5.300,0.393,14.163,0.000,0.000,0.000,0.000,0.000,0.000,0.000,*,*
SB-105,20,ROL,1_1,1,1,LP,9.000,0.000,0.424,"3,200.000",0.000,0.095,0.000,0.000,0.000,0.000,1.042,0.318,0.963,2.504,0.006,1.560,0.634,0.000,0.000,0.000,,,,,,,,,,,,,,,6.660,8.580,8.630,9.410,11.070,11.810,12.520,12.270,11.920,12.770,,,,13.380,,13.380,0.204,0.173,0.072,1.858,2.110,2.508,2.863,2.398,2.497,2.360,3.210,,,,2.519,2.812,0.050,0.900,3.737,67.265,1.000,0.110,12.290,4.500,0.366,11.175,0.000,0.000,1.000,0.000,3.000,4.000,0.699,0.000,75.000
SB-105,23,ROL,0_1,0,1,HP,21.000,0.000,0.209,"3,200.000",0.000,0.218,0.000,0.000,2.970,7.772,4.426,0.000,1.039,1.275,0.050,0.614,0.407,0.000,3.181,0.000,0.288,0.000,0.001,0.529,0.009,0.020,0.000,0.124,0.004,0.247,0.220,0.065,0.105,0.012,6.540,8.360,8.980,9.840,11.790,12.680,13.660,15.140,14.930,14.980,16.320,16.410,17.220,,17.380,17.380,0.328,0.328,0.310,1.828,2.303,2.765,2.480,2.673,2.900,1.903,1.970,1.975,2.147,2.110,,,0.095,0.758,5.466,43.613,0.000,0.100,15.360,5.600,0.365,10.998,"2,092.500",12.000,15.000,0.000,0.000,27.000,1.447,139.500,0.000
